x_pos,cos_full_vs_occ
-56,1.0
-48,1.0
-41,0.8754770159721375
-34,0.8161928057670593
-27,0.8085505962371826
-20,0.7978692054748535
-12,0.7748685479164124
-5,0.7634902000427246
1,0.7551620602607727
8,0.7540483474731445
15,0.7431657910346985
22,0.7394194602966309
30,0.7409851551055908
37,0.7267146110534668
44,0.7242607474327087
51,0.7213717103004456
58,0.7114620208740234
66,0.6920319199562073
73,0.6891587376594543
80,0.6703193783760071
87,0.6546931266784668
94,0.6561548709869385
101,0.6556853652000427
109,0.6576088070869446
116,0.6674211621284485
123,0.6778042912483215
130,0.6942867636680603
137,0.7086620330810547
145,0.6992407441139221
152,0.7053435444831848
159,0.701625645160675
166,0.721498429775238
173,0.750995934009552
180,0.7616874575614929
188,0.7740826606750488
195,0.7761572003364563
202,0.8004317879676819
209,0.8518193364143372
216,1.0
224,1.0

baseline_name,baseline_value
circle_vs_square,0.5870822072029114
circle_vs_triangle,0.6146166920661926
