x_pos,cos_full_vs_occ
-56,1.0
-48,0.9866836667060852
-41,0.9859148859977722
-34,0.9842791557312012
-27,0.9828962683677673
-20,0.9824152588844299
-12,0.9790747165679932
-5,0.9818634986877441
1,0.9848096370697021
8,0.985185444355011
15,0.9868311285972595
22,0.9874677658081055
30,0.9881105422973633
37,0.9889951348304749
44,0.9889614582061768
51,0.9894824624061584
58,0.9891119003295898
66,0.9877622723579407
73,0.9889920353889465
80,0.9908398985862732
87,0.9876590371131897
94,0.9878565669059753
101,0.986773669719696
109,0.9877979755401611
116,0.9884379506111145
123,0.9886322021484375
130,0.9891360402107239
137,0.9881163239479065
145,0.9891396164894104
152,0.988614022731781
159,0.988496720790863
166,0.9886062145233154
173,0.9867866039276123
180,0.9860108494758606
188,0.9869005084037781
195,0.9859363436698914
202,0.9869656562805176
209,0.985598087310791
216,0.9885472655296326
224,1.0

baseline_name,baseline_value
square_vs_circle,0.9004141688346863
square_vs_triangle,0.9542267322540283
